sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
68,M,19,U,3,1,services,other,yes,yes,no,yes,80.92,Private,78.5,Central,Commerce,67.0,Comm&Mgmt,No,68.71,Mkt&Fin,84,Placed,396280.0
69,F,23,R,2,2,health,services,yes,yes,no,yes,69.7,State,47.0,Private,Commerce,72.7,Sci&Tech,No,79.0,Mkt&HR,50,Not Placed,
70,M,19,R,3,1,other,other,yes,no,no,yes,73.0,Central,73.0,Central,Science,66.0,Sci&Tech,Yes,70.0,Mkt&Fin,53,Placed,307219.0
71,M,21,U,3,1,other,other,yes,yes,no,yes,82.0,State,61.0,State,Science,62.0,Sci&Tech,No,89.0,Mkt&Fin,87,Placed,391730.0
72,M,23,U,4,2,other,other,no,no,no,yes,75.0,State,70.29,State,Commerce,71.0,Comm&Mgmt,No,95.0,Mkt&Fin,77,Placed,469558.0
73,M,23,R,1,1,other,other,yes,no,no,yes,84.86,Private,67.0,State,Science,78.0,Comm&Mgmt,No,95.5,Mkt&Fin,92,Placed,550000.0
74,M,18,U,3,1,other,other,no,no,yes,no,64.6,Central,83.83,State,Commerce,71.72,Comm&Mgmt,No,86.0,Mkt&Fin,82,Placed,460464.0
75,M,22,U,3,3,other,services,yes,yes,yes,yes,56.6,State,64.8,Private,Commerce,70.2,Comm&Mgmt,No,84.27,Mkt&Fin,89,Placed,438288.0
76,F,21,U,4,3,teacher,other,yes,yes,yes,yes,59.0,State,62.0,Private,Commerce,77.5,Comm&Mgmt,No,74.0,Mkt&HR,77,Not Placed,
77,F,18,U,4,0,teacher,other,no,no,yes,yes,66.5,Private,70.4,Central,Arts,71.93,Comm&Mgmt,No,61.0,Mkt&Fin,61,Not Placed,
78,M,19,U,2,2,other,other,no,yes,no,yes,64.0,Private,80.0,Private,Science,65.0,Sci&Tech,Yes,69.0,Mkt&Fin,90,Placed,401719.0
79,M,20,U,2,1,other,other,yes,no,yes,yes,84.0,State,90.9,Central,Science,64.5,Sci&Tech,No,86.04,Mkt&Fin,82,Placed,401207.0
80,F,23,U,3,4,at_home,other,yes,no,no,yes,69.0,Central,62.0,State,Science,66.0,Sci&Tech,No,75.0,Mkt&HR,64,Not Placed,
81,F,19,U,2,3,other,services,yes,yes,yes,yes,69.0,Private,62.0,Private,Commerce,69.0,Comm&Mgmt,Yes,67.0,Mkt&HR,58,Not Placed,
82,M,20,U,2,3,other,other,no,yes,no,yes,81.7,Central,63.0,State,Science,67.0,Comm&Mgmt,Yes,86.0,Mkt&Fin,84,Placed,472691.0
83,M,19,U,3,2,services,other,yes,yes,no,yes,63.0,Private,67.0,Private,Commerce,74.0,Comm&Mgmt,No,82.0,Mkt&Fin,62,Placed,417962.0
84,M,20,U,2,2,services,services,no,yes,yes,yes,84.0,Central,79.0,Private,Science,68.0,Sci&Tech,Yes,84.0,Mkt&Fin,55,Not Placed,
85,M,20,U,1,1,other,other,yes,no,yes,yes,70.0,Private,63.0,Central,Science,70.0,Sci&Tech,Yes,55.0,Mkt&Fin,94,Placed,403163.0
86,F,19,U,4,4,services,services,no,yes,no,yes,83.84,Central,89.83,State,Commerce,77.2,Comm&Mgmt,Yes,78.74,Mkt&Fin,86,Placed,546885.0
87,M,23,U,2,2,at_home,other,yes,no,no,no,62.0,Central,63.0,State,Commerce,64.0,Comm&Mgmt,No,67.0,Mkt&Fin,70,Not Placed,
88,M,19,U,4,2,other,other,yes,no,yes,yes,59.6,State,51.0,Private,Science,60.0,Others,No,75.0,Mkt&HR,69,Placed,278098.0
89,F,23,U,2,2,services,other,no,yes,yes,yes,66.0,Private,62.0,Private,Commerce,73.0,Comm&Mgmt,No,58.0,Mkt&HR,58,Not Placed,
90,F,18,U,4,4,teacher,health,yes,no,no,no,84.0,Central,75.0,Central,Science,69.0,Sci&Tech,Yes,62.0,Mkt&HR,56,Placed,306022.0
91,F,20,U,3,3,other,other,yes,yes,no,yes,85.0,Private,90.0,Private,Commerce,82.0,Comm&Mgmt,No,92.0,Mkt&Fin,71,Placed,499030.0
92,M,19,U,4,3,services,other,no,yes,yes,yes,52.0,Central,57.0,Central,Commerce,50.8,Comm&Mgmt,No,67.0,Mkt&HR,77,Not Placed,
93,F,21,U,3,1,other,other,yes,no,no,no,60.23,Private,69.0,Private,Science,66.0,Comm&Mgmt,No,72.0,Mkt&Fin,84,Not Placed,
94,M,23,U,4,2,teacher,services,yes,yes,yes,yes,52.0,State,62.0,State,Commerce,54.0,Comm&Mgmt,No,72.0,Mkt&HR,56,Not Placed,
95,M,22,U,2,2,services,health,yes,no,yes,yes,58.0,Private,62.0,Private,Commerce,64.0,Comm&Mgmt,No,53.88,Mkt&Fin,82,Placed,320892.0
96,M,20,R,1,1,at_home,other,yes,yes,yes,yes,73.0,State,78.0,State,Commerce,65.0,Comm&Mgmt,Yes,95.46,Mkt&Fin,69,Placed,446331.0
97,F,21,R,4,3,services,other,yes,no,yes,yes,76.0,State,70.0,Central,Science,76.0,Comm&Mgmt,Yes,66.0,Mkt&Fin,69,Placed,387892.0
98,F,23,U,2,1,other,other,yes,yes,no,no,70.5,State,62.5,State,Commerce,61.0,Comm&Mgmt,No,93.91,Mkt&Fin,72,Placed,383566.0
99,F,21,U,4,4,other,other,no,no,yes,yes,69.0,State,73.0,Central,Commerce,65.0,Comm&Mgmt,No,70.0,Mkt&Fin,58,Placed,328814.0
100,M,18,U,4,3,other,at_home,yes,yes,no,yes,54.0,Private,82.0,Private,Commerce,63.0,Sci&Tech,No,50.0,Mkt&Fin,91,Not Placed,
101,F,21,U,4,4,services,services,yes,yes,yes,yes,45.0,Private,57.0,Private,Commerce,58.0,Comm&Mgmt,Yes,56.39,Mkt&HR,75,Placed,286551.0
102,M,21,U,4,4,services,teacher,yes,no,yes,yes,63.0,Private,72.0,Central,Commerce,68.0,Comm&Mgmt,No,78.0,Mkt&HR,70,Placed,366432.0
103,F,20,U,4,4,services,other,yes,no,yes,yes,77.0,State,61.0,Private,Commerce,68.0,Comm&Mgmt,Yes,57.5,Mkt&Fin,80,Not Placed,
104,M,19,U,3,2,services,other,yes,yes,no,yes,73.0,Private,78.0,State,Science,73.0,Sci&Tech,Yes,85.0,Mkt&HR,70,Placed,442929.0
105,M,21,U,3,4,services,other,yes,yes,yes,yes,69.0,Central,63.0,Private,Science,65.0,Comm&Mgmt,Yes,55.0,Mkt&HR,87,Placed,353561.0
106,M,23,U,3,3,other,health,no,no,no,no,59.0,Private,64.0,Central,Science,58.0,Sci&Tech,No,85.0,Mkt&HR,64,Placed,299564.0
107,M,22,U,2,2,other,other,yes,yes,no,yes,61.08,Central,50.0,Private,Science,54.0,Sci&Tech,No,71.0,Mkt&Fin,65,Not Placed,
108,M,18,U,3,3,services,other,yes,no,yes,yes,82.0,Private,90.0,State,Commerce,83.0,Comm&Mgmt,No,80.0,Mkt&HR,53,Placed,432492.0
109,M,19,R,4,4,other,other,yes,yes,yes,yes,61.0,State,82.0,Private,Commerce,69.0,Comm&Mgmt,No,84.0,Mkt&Fin,73,Placed,366714.0
110,M,19,U,4,4,health,health,yes,yes,yes,yes,52.0,State,63.0,Central,Science,65.0,Sci&Tech,Yes,86.0,Mkt&HR,85,Placed,446375.0
111,F,18,U,4,4,teacher,teacher,no,no,yes,yes,69.5,State,70.0,Private,Science,72.0,Sci&Tech,No,57.2,Mkt&HR,55,Not Placed,
112,M,18,R,3,3,services,other,yes,no,yes,yes,51.0,Central,54.0,Private,Science,61.0,Sci&Tech,No,60.0,Mkt&HR,92,Placed,354299.0
113,M,18,U,2,2,at_home,other,no,no,yes,yes,58.0,Private,61.0,Central,Commerce,61.0,Comm&Mgmt,No,58.0,Mkt&HR,52,Not Placed,
114,F,21,U,4,2,teacher,other,no,no,no,yes,73.96,Central,79.0,State,Commerce,67.0,Comm&Mgmt,No,72.15,Mkt&Fin,55,Placed,318151.0
115,M,21,R,2,1,health,services,no,no,yes,yes,65.0,Central,68.0,Central,Science,69.0,Comm&Mgmt,No,53.7,Mkt&HR,60,Not Placed,
116,F,21,U,4,4,teacher,teacher,yes,no,yes,yes,73.0,Private,63.0,State,Science,66.0,Comm&Mgmt,No,89.0,Mkt&Fin,55,Not Placed,
117,M,22,U,4,4,other,teacher,yes,no,yes,no,68.2,State,72.8,Private,Commerce,66.6,Comm&Mgmt,Yes,96.0,Mkt&Fin,54,Placed,436199.0
118,M,19,U,3,3,other,services,no,no,yes,yes,77.0,State,75.0,Private,Science,73.0,Sci&Tech,No,80.0,Mkt&Fin,93,Placed,480367.0
119,M,20,R,1,3,other,other,yes,no,yes,yes,76.0,Central,80.0,State,Science,78.0,Sci&Tech,Yes,97.0,Mkt&HR,78,Placed,550000.0
120,M,21,U,3,4,other,other,no,no,no,yes,60.8,Private,68.4,Private,Commerce,64.6,Comm&Mgmt,Yes,82.66,Mkt&Fin,92,Placed,495096.0
121,M,22,U,1,2,at_home,services,no,no,no,yes,58.0,Central,40.0,Central,Science,59.0,Comm&Mgmt,No,73.0,Mkt&HR,88,Placed,355188.0
122,F,21,U,2,2,services,services,yes,yes,yes,yes,64.0,Private,67.0,State,Science,69.6,Sci&Tech,Yes,55.67,Mkt&HR,95,Not Placed,
123,F,23,U,2,4,other,health,yes,yes,yes,yes,66.5,State,66.8,Private,Arts,69.3,Comm&Mgmt,Yes,80.4,Mkt&Fin,74,Placed,410989.0
124,M,21,U,4,4,health,other,yes,no,yes,yes,74.0,Central,59.0,Central,Commerce,73.0,Comm&Mgmt,Yes,60.0,Mkt&HR,67,Not Placed,
125,M,18,U,2,2,other,other,no,yes,no,yes,67.0,Private,71.0,Private,Science,64.33,Others,Yes,64.0,Mkt&HR,62,Not Placed,
126,F,18,U,3,4,services,services,no,no,no,yes,84.0,State,73.0,State,Commerce,73.0,Comm&Mgmt,No,75.0,Mkt&Fin,77,Placed,398973.0
127,F,23,U,3,4,other,other,no,no,yes,yes,79.0,Private,61.0,Central,Science,75.5,Sci&Tech,Yes,70.0,Mkt&Fin,92,Placed,517624.0
128,F,19,U,0,1,at_home,other,yes,no,no,no,72.0,State,60.0,Private,Science,69.0,Comm&Mgmt,No,55.5,Mkt&HR,61,Not Placed,
129,M,20,R,2,2,services,other,yes,no,yes,yes,80.4,Private,73.4,Central,Science,77.72,Sci&Tech,Yes,81.2,Mkt&HR,95,Placed,550000.0
130,M,18,R,4,4,teacher,teacher,no,yes,yes,yes,76.7,Private,89.7,Central,Commerce,66.0,Comm&Mgmt,Yes,90.0,Mkt&Fin,59,Placed,428279.0
131,M,18,R,3,4,services,teacher,yes,no,no,yes,62.0,Private,65.0,State,Commerce,60.0,Comm&Mgmt,No,84.0,Mkt&Fin,67,Not Placed,
132,F,19,U,1,1,at_home,other,yes,no,yes,yes,74.9,Private,57.0,Private,Science,62.0,Others,Yes,80.0,Mkt&Fin,70,Placed,355115.0
133,M,23,U,2,2,other,other,yes,no,no,yes,67.0,Central,68.0,State,Commerce,64.0,Comm&Mgmt,Yes,74.4,Mkt&HR,58,Not Placed,
134,M,18,U,3,4,services,other,no,no,no,yes,73.0,Private,64.0,Central,Commerce,77.0,Comm&Mgmt,Yes,65.0,Mkt&HR,85,Not Placed,
135,F,22,R,3,4,at_home,teacher,yes,no,no,no,77.44,Private,92.0,State,Commerce,72.0,Comm&Mgmt,Yes,94.0,Mkt&Fin,79,Placed,521788.0
136,F,22,U,4,4,services,at_home,yes,no,yes,yes,72.0,Central,56.0,Private,Science,69.0,Comm&Mgmt,No,55.6,Mkt&HR,89,Placed,296622.0
137,F,22,R,3,4,at_home,other,no,no,no,no,47.0,State,59.0,Private,Arts,64.0,Comm&Mgmt,No,78.0,Mkt&Fin,71,Not Placed,
138,M,18,U,3,3,other,other,yes,no,yes,yes,67.0,Private,63.0,State,Commerce,72.0,Comm&Mgmt,No,56.0,Mkt&HR,95,Placed,358941.0
139,F,19,U,1,1,services,other,no,no,no,no,82.0,State,64.0,Central,Science,73.0,Sci&Tech,Yes,96.0,Mkt&Fin,56,Placed,449037.0
140,M,21,U,4,4,teacher,teacher,no,no,yes,yes,77.0,Private,70.0,Central,Commerce,59.0,Comm&Mgmt,Yes,58.0,Mkt&Fin,78,Placed,305522.0
141,M,19,U,4,3,teacher,services,yes,no,no,yes,65.0,Private,64.8,Private,Commerce,69.5,Comm&Mgmt,Yes,56.0,Mkt&Fin,73,Not Placed,
142,M,18,U,2,2,services,services,yes,no,yes,yes,66.0,Central,64.0,Private,Science,60.0,Comm&Mgmt,No,60.0,Mkt&HR,65,Not Placed,
143,M,22,U,4,4,teacher,services,yes,yes,yes,yes,85.0,Central,60.0,State,Science,73.43,Sci&Tech,Yes,60.0,Mkt&Fin,65,Not Placed,
144,M,18,U,1,1,at_home,at_home,no,no,no,yes,77.67,Private,64.89,Central,Commerce,70.67,Comm&Mgmt,No,89.0,Mkt&Fin,76,Placed,461499.0
145,M,18,U,2,1,other,other,yes,no,no,yes,52.0,State,50.0,State,Arts,61.0,Comm&Mgmt,No,60.0,Mkt&Fin,87,Placed,314809.0
146,M,21,U,1,1,other,services,yes,yes,no,yes,89.4,Central,65.66,Private,Science,71.25,Sci&Tech,No,72.0,Mkt&HR,88,Placed,396210.0
147,M,23,U,3,2,health,services,yes,no,no,yes,62.0,Private,63.0,State,Science,66.0,Comm&Mgmt,No,85.0,Mkt&HR,56,Not Placed,
148,M,19,U,1,2,at_home,other,yes,yes,no,yes,70.0,Private,74.0,Central,Commerce,65.0,Comm&Mgmt,No,83.0,Mkt&Fin,51,Placed,361027.0
149,F,18,U,4,4,teacher,teacher,yes,no,no,yes,77.0,State,86.0,State,Arts,56.0,Others,No,57.0,Mkt&Fin,71,Placed,214041.0
150,M,19,U,2,1,services,other,no,no,no,yes,44.0,Private,58.0,Private,Arts,55.0,Comm&Mgmt,Yes,64.25,Mkt&HR,66,Not Placed,
151,M,21,U,1,1,other,other,no,no,no,yes,71.0,Central,58.66,Central,Science,58.0,Sci&Tech,Yes,56.0,Mkt&Fin,61,Not Placed,
152,M,20,U,2,1,at_home,other,no,no,yes,no,65.0,Central,65.0,Central,Commerce,75.0,Comm&Mgmt,No,83.0,Mkt&Fin,50,Placed,388704.0
153,F,20,R,3,3,services,services,yes,yes,yes,yes,75.4,State,60.5,Private,Science,84.0,Sci&Tech,No,98.0,Mkt&Fin,55,Placed,529034.0
154,M,22,U,3,2,services,at_home,yes,no,no,yes,49.0,Central,59.0,State,Science,65.0,Sci&Tech,Yes,86.0,Mkt&Fin,88,Placed,482547.0
155,M,21,U,4,4,other,teacher,yes,no,no,no,53.0,Central,63.0,State,Science,60.0,Comm&Mgmt,Yes,70.0,Mkt&Fin,88,Not Placed,
156,M,20,R,2,3,at_home,services,no,yes,yes,no,51.57,State,74.66,State,Commerce,59.9,Comm&Mgmt,Yes,56.15,Mkt&HR,50,Not Placed,
157,M,22,R,1,2,other,other,no,no,no,no,84.2,Private,69.4,Private,Science,65.0,Sci&Tech,Yes,80.0,Mkt&HR,53,Placed,335915.0
158,M,21,R,1,1,at_home,other,yes,no,yes,no,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,No,93.4,Mkt&Fin,86,Placed,448828.0
159,M,20,R,2,2,at_home,other,no,no,no,no,67.0,Central,63.0,Private,Science,64.0,Sci&Tech,No,60.0,Mkt&Fin,93,Placed,377593.0
160,M,22,U,3,3,other,services,yes,yes,no,yes,52.0,Central,49.0,Private,Commerce,58.0,Comm&Mgmt,No,62.0,Mkt&HR,77,Placed,262146.0
161,M,20,R,2,1,at_home,other,no,no,yes,yes,87.0,State,74.0,State,Science,65.0,Sci&Tech,Yes,75.0,Mkt&HR,65,Placed,344754.0
162,M,20,R,3,2,other,other,yes,no,no,yes,55.6,Private,51.0,State,Commerce,57.5,Comm&Mgmt,No,57.63,Mkt&HR,89,Placed,246957.0
163,M,18,U,1,2,other,other,no,no,yes,no,74.2,Private,87.6,Central,Commerce,77.25,Comm&Mgmt,Yes,75.2,Mkt&Fin,50,Placed,405972.0
164,M,19,U,1,3,at_home,services,no,no,no,yes,63.0,State,67.0,Central,Science,64.0,Sci&Tech,No,75.0,Mkt&Fin,62,Not Placed,
165,F,19,R,1,1,other,services,no,no,yes,no,67.16,State,72.5,State,Commerce,63.35,Comm&Mgmt,No,53.04,Mkt&Fin,83,Placed,285363.0
